word	why
POD	Xuxen rejects it
POINT	Xuxen rejects it
POLICE	Xuxen rejects it
PONS	Xuxen rejects it
POOR	Xuxen rejects it
POTATO	Xuxen rejects it
PRETTY	Xuxen rejects it
PRICE	Xuxen rejects it
PRIMO	Xuxen rejects it
PRINCE	Xuxen rejects it
PROUD	Xuxen rejects it
PRUDENCE	Xuxen rejects it
PUBLIC	Xuxen rejects it
PUMP	Xuxen rejects it
PUN	Xuxen accepts it, but no Romance language has it: English only
PUSSY	Xuxen rejects it
PUT	Xuxen rejects it
QUEEN	Xuxen rejects it
QUIET	Xuxen rejects it
RAIN	Xuxen rejects it
RAISIN	Xuxen rejects it
RAJ	Xuxen rejects it
RAPE	Xuxen rejects it
RAT	Xuxen rejects it
RAVE	Xuxen rejects it
RAY	Xuxen rejects it
REASON	Xuxen rejects it
RED	Xuxen rejects it
REGINA	Xuxen rejects it
REMEMBER	Xuxen rejects it
REPUBLIC	Xuxen rejects it
RETURN	Xuxen rejects it
RHYTHM	Xuxen rejects it
RICE	Xuxen rejects it
RICH	Xuxen rejects it
RIDE	Xuxen rejects it
RIFLE	Xuxen rejects it
RIGHT	Xuxen rejects it
RING	by hand: English, though Xuxen and a Romance list accept it
RIVER	Xuxen rejects it
ROAD	Xuxen rejects it
ROB	Xuxen rejects it
ROCK	spelled as Basque never spells
ROD	Xuxen rejects it
ROM	Xuxen rejects it
ROMAN	Xuxen rejects it
ROOF	Xuxen rejects it
ROUGE	Xuxen rejects it
RUE	Xuxen rejects it
RULE	Xuxen rejects it
RUN	Xuxen rejects it
RUTHLESS	Xuxen rejects it
RYE	Xuxen rejects it
SABER	Xuxen rejects it
SALE	Xuxen rejects it
SALMON	Xuxen rejects it
SALT	Xuxen rejects it
SAND	Xuxen rejects it
SAPPHIRE	Xuxen rejects it
SAY	Xuxen rejects it
SCAR	Xuxen rejects it
SCHOOL	Xuxen rejects it
SCIENCE	Xuxen rejects it
SEA	Xuxen rejects it
SEAL	Xuxen rejects it
SECRET	Xuxen rejects it
SEE	Xuxen rejects it
SEEN	Xuxen rejects it
SENSE	Xuxen rejects it
SER	Xuxen rejects it
SERVICE	Xuxen rejects it
SEVEN	Xuxen rejects it
SEX	Xuxen rejects it
SEXY	spelled as Basque never spells
SHAKE	Xuxen rejects it
SHARE	Xuxen rejects it
SHARP	Xuxen rejects it
SHE	Xuxen rejects it
SHELTER	Xuxen rejects it
SHEPHERD	Xuxen rejects it
SHIELD	Xuxen rejects it
SHIT	Xuxen rejects it
SHOP	Xuxen rejects it
SHORT	spelled as Basque never spells
SHOT	Xuxen rejects it
SHOW	spelled as Basque never spells
SIGHT	Xuxen rejects it
SILICON	Xuxen rejects it
SILVA	Xuxen rejects it
SILVER	Xuxen rejects it
SING	Xuxen accepts it, but no Romance language has it: English only
SIR	by hand: English, though Xuxen and a Romance list accept it
SISTER	Xuxen rejects it
SIT	Xuxen rejects it
SIX	by hand: English, though Xuxen and a Romance list accept it
SKIN	Xuxen rejects it
SKUNK	Xuxen rejects it
SKY	Xuxen rejects it
SLEEP	Xuxen rejects it
SLOW	Xuxen rejects it
SMOKE	Xuxen rejects it
SNAKE	Xuxen rejects it
SNIPER	Xuxen rejects it
SNOW	spelled as Basque never spells
SNOWBALL	Xuxen rejects it
SNOWBOARD	spelled as Basque never spells
SOCIETY	Xuxen rejects it
SOFT	by hand: English, though Xuxen and a Romance list accept it
SOLE	Xuxen rejects it
SOMETHING	Xuxen rejects it
SOMETIMES	Xuxen rejects it
SON	by hand: English, though Xuxen and a Romance list accept it
SONG	Xuxen rejects it
SOUND	Xuxen rejects it
SOUR	Xuxen rejects it
SOUTH	Xuxen rejects it
SOW	Xuxen rejects it
SPACE	Xuxen rejects it
SPAGHETTI	Xuxen rejects it
SPEAK	Xuxen rejects it
SPECIAL	Xuxen rejects it
SPEED	spelled as Basque never spells
SPELL	Xuxen rejects it
SPIDER	Xuxen rejects it
SPOON	Xuxen rejects it
SPORTS	Xuxen rejects it
SPRAY	spelled as Basque never spells
SPRING	Xuxen rejects it
SQUARE	Xuxen rejects it
STAND	by hand: English, though Xuxen and a Romance list accept it
STAR	Xuxen rejects it
STARS	Xuxen rejects it
START	Xuxen rejects it
STATE	Xuxen rejects it
STAY	Xuxen rejects it
STEEL	Xuxen rejects it
STEIN	Xuxen rejects it
STELLA	Xuxen rejects it
STONE	Xuxen rejects it
STORK	Xuxen rejects it
STORM	Xuxen rejects it
STORY	Xuxen rejects it
STRAND	Xuxen rejects it
STREET	Xuxen rejects it
STRIKE	Xuxen rejects it
STRIPTEASE	Xuxen rejects it
STRONG	Xuxen rejects it
STUDENT	Xuxen rejects it
SUM	Xuxen accepts it, but no Romance language has it: English only
SUMMER	Xuxen rejects it
SUN	Xuxen rejects it
SURVIVE	Xuxen rejects it
SWAN	Xuxen rejects it
SWEAT	Xuxen rejects it
SWEET	Xuxen rejects it
SWING	spelled as Basque never spells
SWITCH	Xuxen rejects it
SYSTEM	Xuxen rejects it
TAE	Xuxen rejects it
TAG	Xuxen rejects it
TAKA	Xuxen accepts it, but no Romance language has it: English only
TAKE	Xuxen accepts it, but no Romance language has it: English only
TALK	Xuxen rejects it
TAM	Xuxen rejects it
TAN	Xuxen rejects it
TEAM	Xuxen rejects it
TEE	Xuxen rejects it
TELEVISION	Xuxen rejects it
TELL	Xuxen rejects it
TEMPS	Xuxen rejects it
TENT	Xuxen rejects it
TEQUILA	Xuxen rejects it
TERRA	Xuxen rejects it
THANK	Xuxen rejects it
THAT	Xuxen rejects it
THE	Xuxen rejects it
THEFT	Xuxen rejects it
THERE	Xuxen rejects it
THESAURUS	spelled as Basque never spells
THESE	Xuxen rejects it
THEY	Xuxen rejects it
THING	Xuxen rejects it
THINK	Xuxen rejects it
THIS	Xuxen rejects it
THREE	Xuxen rejects it
TIE	Xuxen rejects it
TIGER	Xuxen rejects it
TIME	Xuxen rejects it
TIN	Xuxen rejects it
TIP	Xuxen rejects it
TIT	Xuxen rejects it
TOAD	Xuxen rejects it
TODAY	Xuxen rejects it
TOGETHER	Xuxen rejects it
TOM	Xuxen rejects it
TONIGHT	Xuxen rejects it
TOO	Xuxen rejects it
TOPAZ	Xuxen accepts it, but no Romance language has it: English only
TOPIC	Xuxen rejects it
TOR	Xuxen rejects it
TOUCH	Xuxen rejects it
TOWER	Xuxen rejects it
TOWN	Xuxen rejects it
TOY	Xuxen rejects it
TRAIN	Xuxen rejects it
TRANSFORMER	Xuxen rejects it
TREE	Xuxen rejects it
TRENCH	Xuxen rejects it
TROIS	Xuxen rejects it
TROLL	Xuxen rejects it
TROUBLE	Xuxen rejects it
TRUE	Xuxen rejects it
TRY	Xuxen rejects it
TUNG	Xuxen rejects it
TURKEY	Xuxen rejects it
TWEET	Xuxen rejects it
TWO	Xuxen rejects it
UNCLE	Xuxen rejects it
UNIVERSAL	Xuxen rejects it
UNIVERSITY	Xuxen rejects it
UNTIL	Xuxen accepts it, but no Romance language has it: English only
VAL	Xuxen rejects it
VALLEY	Xuxen rejects it
VELVET	Xuxen rejects it
VENDETTA	Xuxen rejects it
VENT	Xuxen rejects it
VERA	Xuxen rejects it
VERITAS	Xuxen rejects it
VERY	Xuxen rejects it
VICTORIA	Xuxen rejects it
VIKING	Xuxen rejects it
VILLA	spelled as Basque never spells
VILLAGE	Xuxen rejects it
VIPER	Xuxen rejects it
VIS	spelled as Basque never spells
VISA	spelled as Basque never spells
VISTA	Xuxen rejects it
VITA	spelled as Basque never spells
VOICE	Xuxen rejects it
VOX	spelled as Basque never spells
VOYAGE	Xuxen rejects it
WAIT	Xuxen rejects it
WAKE	Xuxen rejects it
WALK	Xuxen rejects it
WALL	Xuxen rejects it
WANNA	Xuxen rejects it
WANT	Xuxen rejects it
WAR	Xuxen rejects it
